country,Total Ecological Footprint,biocapacity,Population (millions),region,hdi,gdpNormalized,area,kmPerCap,biocapnorm,kmPerCapNORM,hdiNORM,gdpNORM
Afghanistan,0.79,-0.3,29.82,Middle East/Central Asia,0.46,0.61466,652860,21.893,-0.071345467,0.039134649,0.2,0.002954585
Albania,2.21,-1.03,3.16,Northern/Eastern Europe,0.73,4.53437,27400,8.67,-0.15271654,0.015353516,0.65,0.037221286
Algeria,2.12,-1.53,38.48,Africa,0.73,5.43057,2381741,61.895,-0.208450152,0.11107694,0.65,0.045056003
Angola,0.93,1.61,20.82,Africa,0.52,4.66591,1246700,59.879,0.141556931,0.10745123,0.3,0.038371229
Antigua and Barbuda,5.38,-4.44,0.09,Latin America,0.78,13.2051,440,4.888,-0.532819775,0.008551712,0.733333333,0.113022126
Argentina,3.14,3.78,41.09,Latin America,0.83,13.54,2736690,66.602,0.383440808,0.119542326,0.816666667,0.115949873
Armenia,2.23,-1.35,2.97,Middle East/Central Asia,0.73,3.42639,28470,9.585,-0.188386052,0.016999113,0.65,0.027535156
Australia,9.31,7.26,23.05,Asia-Pacific,0.93,66.6042,7692020,333.71,0.771346748,0.599927342,0.983333333,0.579845178
Austria,6.06,-3,8.46,European Union,0.88,51.2741,82520,9.754,-0.372306972,0.017303054,0.9,0.445827113
Azerbaijan,2.31,-1.46,9.31,Middle East/Central Asia,0.75,7.10604,82654,8.877,-0.200647447,0.015725798,0.683333333,0.059703216
Bahamas,6.84,2.71,0.37,Latin America,0.78,22.6473,10010,27.054,0.264170878,0.048416539,0.733333333,0.195567274
Bahrain,7.49,-6.91,1.32,Middle East/Central Asia,0.82,24.299,780,0.59,-0.808143818,0.0008219,0.8,0.210006687
Bangladesh,0.72,-0.35,154.7,Asia-Pacific,0.56,0.8575,130170,0.841,-0.076918828,0.001273315,0.366666667,0.005077529
Barbados,4.48,-4.29,0.28,Latin America,0.79,15.7228,430,1.535,-0.516099691,0.002521451,0.75,0.135032242
Belarus,5.09,-1.45,9.4,Northern/Eastern Europe,0.8,6.30045,202980,21.593,-0.199532774,0.038595109,0.766666667,0.052660626
Belgium,7.44,-6.25,11.06,European Union,0.89,48.0533,30280,2.737,-0.73457545,0.004683209,0.916666667,0.41767039
Benin,1.41,-0.53,10.05,Africa,0.48,0.74683,112760,11.219,-0.096982928,0.019937809,0.233333333,0.004110035
Bermuda,5.77,-5.64,0.06,North America,,70.6263,54,0.9,-0.666580444,0.001379424,-0.566666667,0.615006988
Bhutan,4.84,0.43,0.74,Asia-Pacific,0.59,2.395,38140,51.54,0.010025607,0.092453811,0.416666667,0.018518588
Bolivia,2.96,13.77,10.5,Latin America,0.65,2.25309,1083300,103.171,1.496998377,0.185310478,0.516666667,0.017277989
Bosnia and Herzegovina,3.12,-1.49,3.83,Northern/Eastern Europe,0.73,4.70885,51200,13.368,-0.203991463,0.023802715,0.65,0.038746617
Botswana,3.83,-0.35,2,Africa,0.69,7.7435,566730,283.365,-0.076918828,0.509383503,0.583333333,0.065275988
Brazil,3.11,5.97,198.66,Latin America,0.75,13.2376,8358140,42.072,0.627554029,0.075425922,0.683333333,0.113306246
Brunei Darussalam,4.06,-1.19,0.41,Asia-Pacific,0.85,47.0974,5270,12.85365854,-0.170551296,0.022877689,0.85,0.409313766
Bulgaria,3.32,-0.46,7.28,European Union,0.78,7.61528,108560,14.912,-0.089180223,0.026579549,0.733333333,0.06415507
Burkina Faso,1.21,-0.22,16.46,Africa,0.39,0.67107,273600,16.622,-0.062428089,0.029654928,0.083333333,0.00344773
Burundi,0.8,-0.48,9.85,Africa,0.39,0.27669,25680,2.607,-0.091409567,0.004449408,0.083333333,0
Cabo Verde,2.52,-1.9,0.49,Africa,0.64,3.80145,4030,8.224489796,-0.249693025,0.01455228,0.5,0.030813988
Cambodia,1.21,-0.11,14.86,Asia-Pacific,0.55,0.87764,176520,11.878,-0.050166694,0.021122999,0.35,0.005253596
Cameroon,1.17,0.52,21.7,Africa,0.5,1.27121,472710,21.783,0.020057657,0.038936818,0.266666667,0.008694245
Canada,8.17,7.83,34.84,North America,0.91,52.1454,8965590,257.336,0.834883066,0.462571197,0.95,0.45344415
Central African Republic,1.24,6.62,4.53,Africa,0.37,0.49504,622980,137.523,0.700007725,0.247091429,0.05,0.001908849
Chad,1.46,0.57,12.45,Africa,0.39,1.16122,1259200,101.14,0.025631018,0.181657791,0.083333333,0.007732696
Chile,4.36,-0.73,17.46,Latin America,0.83,14.5258,743532,42.584,-0.119276373,0.076346737,0.816666667,0.124567886
China,3.38,-2.44,1408.04,Asia-Pacific,0.72,5.56094,9424703,6.693,-0.309885326,0.011797946,0.633333333,0.046195717
Colombia,1.87,1.72,47.7,Latin America,0.72,7.30522,1109500,23.259,0.153818326,0.041591356,0.633333333,0.061444478
Comoros,1.03,-0.7,0.72,Africa,0.5,0.86024,1861,2.584,-0.115932356,0.004408043,0.266666667,0.005101483
Congo,1.29,9.63,4.34,Africa,0.57,1.94369,341500,78.686,1.035524069,0.141275005,0.383333333,0.014573167
"Congo, Democratic Republic of",0.82,2.25,65.7,Africa,0.42,0.33863,2267050,34.50608828,0.212895955,0.061818877,0.133333333,0.000541489
Costa Rica,2.84,-1.31,4.8,Latin America,0.76,8.97996,51060,10.637,-0.183927363,0.018891101,0.7,0.07608531
Côte d'Ivoire,1.27,0.51,19.84,Africa,,1.01683,318000,16.02822581,0.018942985,0.028587045,-0.566666667,0.006470416
Croatia,3.92,-1.12,4.31,Northern/Eastern Europe,0.82,14.5228,56590,13.129,-0.16274859,0.023372882,0.8,0.12454166
Cuba,1.95,-1.19,11.27,Latin America,0.77,5.17594,103800,9.21,-0.170551296,0.016324688,0.716666667,0.042829988
Cyprus,4.21,-3.87,1.13,European Union,0.85,31.4547,9240,8.176,-0.469283457,0.014465073,0.85,0.272562904
Czech Republic,5.19,-2.73,10.66,European Union,0.87,21.6763,77200,7.242026266,-0.342210821,0.012785352,0.883333333,0.187078645
Denmark,5.51,-0.73,5.6,European Union,0.92,61.4136,40000,7.142,-0.119276373,0.012605458,0.966666667,0.534468164
Djibouti,2.19,-1.42,0.86,Africa,0.46,1.43317,23180,26.953,-0.196188758,0.048234894,0.2,0.010110124
Dominica,2.57,-1.54,0.07,Latin America,0.72,7.08801,750,10.714,-0.209564825,0.019029583,0.633333333,0.059545595
Dominican Republic,1.53,-0.97,10.28,Latin America,0.71,6.08589,48310,4.699,-0.146028507,0.008211802,0.616666667,0.05078491
Ecuador,2.17,0.03,15.49,Latin America,0.73,5.19288,248360,16.033,-0.034561283,0.028595631,0.65,0.042978081
Egypt,2.15,-1.59,80.72,Africa,0.69,2.93033,995450,12.332,-0.215138186,0.021939503,0.583333333,0.023198524
El Salvador,2.07,-1.46,6.3,Latin America,0.66,3.69633,20720,3.288,-0.200647447,0.005674164,0.533333333,0.029895013
Equatorial Guinea,3.97,0.44,0.74,Africa,0.58,24.064,28050,37.905,0.011140279,0.067931709,0.4,0.207952281
Eritrea,0.42,0.88,6.13,Africa,0.39,0.43973,101000,16.476,0.060185858,0.029392352,0.083333333,0.00142532
Estonia,6.86,3.67,1.29,European Union,0.85,17.3044,43470,33.697,0.371179413,0.060363758,0.85,0.14885883
Ethiopia,1.02,-0.44,91.73,Africa,0.43,0.37938,1129300,12.311,-0.086950878,0.021901735,0.15,0.000897732
Fiji,2.9,-0.52,0.88,Asia-Pacific,0.72,4.20137,18270,20.761,-0.095868256,0.037098784,0.633333333,0.034310149
Finland,5.87,7.57,5.41,European Union,0.88,50.9602,303920,56.177,0.805901588,0.100793304,0.9,0.443082951
France,5.14,-2.04,63.98,European Union,0.89,45.4303,547557,8.558,-0.265298437,0.015152087,0.916666667,0.394739725
Gabon,2.02,24.29,1.63,Africa,0.67,11.989,257670,158.079,2.669633576,0.284060723,0.55,0.102390795
Gambia,1.03,-0.21,1.79,Africa,0.44,0.50576,10120,5.653,-0.061313416,0.00992754,0.166666667,0.002002565
Georgia,1.58,-0.41,4.36,Middle East/Central Asia,0.75,3.7107,69490,15.938,-0.083606861,0.028424776,0.683333333,0.030020638
Germany,5.3,-3.02,82.8,European Union,0.91,46.8224,349380,4.219,-0.374536316,0.007348538,0.95,0.406909675
Ghana,1.97,-0.62,25.37,Africa,0.57,1.6279,227540,8.968,-0.107014978,0.015889459,0.383333333,0.011812483
Greece,4.38,-2.77,11.12,European Union,0.86,25.9874,128900,11.591,-0.34666951,0.020606839,0.866666667,0.224766936
Grenada,2.98,-1.01,0.1,Latin America,0.74,7.41048,340,3.4,-0.150487196,0.005875593,0.666666667,0.062364677
Guatemala,1.89,-0.9,15.08,Latin America,0.62,3.2338,107160,7.106,-0.138225801,0.012540713,0.466666667,0.025851505
Guinea,1.41,0.68,11.45,Africa,0.41,0.45909,245720,21.46,0.037892413,0.038355913,0.116666667,0.001594569
Guinea-Bissau,1.53,1.49,1.66,Africa,0.42,0.68125,28120,16.939,0.128180865,0.030225042,0.133333333,0.003536725
Guyana,3.07,63.51,0.8,Latin America,0.63,3.26946,196850,246.062,7.041378107,0.442295276,0.483333333,0.02616325
Haiti,0.61,-0.34,10.17,Latin America,0.48,0.74913,27560,2.709,-0.075804156,0.004632852,0.233333333,0.004130142
Honduras,1.68,0.09,7.94,Latin America,0.61,2.26951,111890,14.091,-0.027873249,0.025103007,0.45,0.017421535
Hungary,2.92,-0.75,9.98,European Union,0.82,13.9642,91260,9.144,-0.121505718,0.016205989,0.8,0.119658294
India,1.16,-0.71,1236.69,Asia-Pacific,0.6,1.51385,2973190,2.404,-0.117047029,0.004084319,0.433333333,0.010815441
Indonesia,1.58,-0.32,246.86,Asia-Pacific,0.68,3.68853,1877519,7.605,-0.073574811,0.013438148,0.566666667,0.029826824
